timestamp_unix;timestamp_esp;device_id;suhu;kelembaban;interval_ms;latency_ms;jitter_ms;packet_rate;label
1.779.149.453.919;1258426;ESP32-IDS-01;28.9;68.2;693;20;2;3.5;normal
1.779.159.547.808;359019;ESP32-IDS-01;30.6;61.1;3031;25;9;2.9;dos
1.779.145.563.519;830447;ESP32-IDS-01;28.4;68.0;535;20;0;1.9;normal
1.779.150.077.955;1882482;ESP32-IDS-01;28.9;67.8;613;20;0;2.1;dos
1.779.155.052.703;320818;ESP32-IDS-01;30.0;62.4;830;25;11;4.21;dos
1779148760.62;565106;ESP32-IDS-01;28.9;68.5;922;18;1;1.3;normal
1.779.150.472.405;274358;ESP32-IDS-01;29.0;67.8;811;45;32;5.57;dos
1.779.145.609.806;876738;ESP32-IDS-01;28.4;67.5;480;19;2;0.6;normal
1.779.164.893.379;565102;ESP32-IDS-01;30.5;61.3;584;43;17;2.31;dos
1.779.158.693.126;174573;ESP32-IDS-01;30.1;60.2;1192;27;17;3.74;dos
1.779.149.477.281;1281788;ESP32-IDS-01;28.9;68.2;391;29;14;0.9;normal
1.779.167.210.208;247832;ESP32-IDS-01;28.8;53.1;724;428;519;6.54;dos
1.779.146.515.733;12126;ESP32-IDS-01;28.6;63.2;898;84;101;1.5;normal
1.779.148.490.723;295223;ESP32-IDS-01;28.7;69.5;801;20;0;1.2;normal
1.779.150.108.066;1912618;ESP32-IDS-01;28.9;67.9;398;20;4;2.5;dos
1.779.149.177.823;982344;ESP32-IDS-01;28.8;68.5;801;20;2;3.0;normal
1.779.149.583.588;1388125;ESP32-IDS-01;29.1;67.8;699;20;0;2.5;normal
1.779.145.319.212;586134;ESP32-IDS-01;28.3;68.4;707;19;2;1.3;normal
1779154364.23;34078;ESP32-IDS-01;30.0;62.4;10000;9999;0;2.9;dos
1.779.145.359.457;626383;ESP32-IDS-01;28.3;68.9;669;18;2;3.5;normal
1.779.149.352.086;1156588;ESP32-IDS-01;29.0;68.2;345;19;0;0.8;normal
1.779.145.514.511;781405;ESP32-IDS-01;28.3;70.9;938;30;30;1.0;normal
1779145169.75;436637;ESP32-IDS-01;28.3;69.1;452;20;1;2.3;normal
1.779.148.261.339;65818;ESP32-IDS-01;28.1;70.1;604;23;5;2.0;normal
1.779.150.293.177;95146;ESP32-IDS-01;28.8;67.9;1262;25;8;3.0;dos
1.779.157.482.959;49592;ESP32-IDS-01;30.2;61.5;820;20;4;2.92;dos
1779148595.28;399719;ESP32-IDS-01;28.8;69.2;783;19;3;2.2;normal
1.779.145.201.432;468349;ESP32-IDS-01;28.3;68.7;529;20;1;0.5;normal
1.779.159.236.497;47681;ESP32-IDS-01;30.6;60.7;479;23;9;1.5;dos
1.779.149.404.548;1209081;ESP32-IDS-01;29.0;68.1;435;19;2;2.9;normal
1.779.166.632.131;169478;ESP32-IDS-01;29.3;54.7;10000;9999;0;2.96;dos
1.779.148.521.622;326094;ESP32-IDS-01;28.7;69.5;988;20;1;2.2;normal
1779151352.93;1154973;ESP32-IDS-01;29.9;64.4;859;19;2;3.1;dos
1.779.149.182.219;986744;ESP32-IDS-01;28.8;68.5;377;19;1;3.5;normal
